#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 489 | 0.000004600s | 48 B
                 490 | 0.000005700s | 48 B
                 491 | 0.000005400s | 48 B
                 492 | 0.000005600s | 48 B
                 493 | 0.000005400s | 48 B
                 494 | 0.000005200s | 48 B
                 495 | 0.000005900s | 48 B
                 496 | 0.000005400s | 48 B
                 497 | 0.000005200s | 48 B
                 498 | 0.000005000s | 48 B
                 499 | 0.000005600s | 48 B
                 500 | 0.000005500s | 48 B
                 501 | 0.000005900s | 48 B
                 502 | 0.000005600s | 48 B
                 503 | 0.000005300s | 48 B
                 504 | 0.000005100s | 48 B
                 505 | 0.000004600s | 48 B
                 506 | 0.000005700s | 48 B
                 507 | 0.000005900s | 48 B
                 508 | 0.000005600s | 48 B
                 509 | 0.000005400s | 48 B
                 510 | 0.000005300s | 48 B
                 511 | 0.000005400s | 48 B
                 512 | 0.000004900s | 48 B
                 513 | 0.000004800s | 48 B
                 514 | 0.000004400s | 48 B
                 515 | 0.000005600s | 48 B
                 516 | 0.000005200s | 48 B
                 517 | 0.000005600s | 48 B
                 518 | 0.000004300s | 48 B
                 519 | 0.000006100s | 48 B
                 520 | 0.000005400s | 48 B
                 521 | 0.000006100s | 48 B
                 522 | 0.000005300s | 48 B
                 523 | 0.000005700s | 48 B
                 524 | 0.000006000s | 48 B
                 525 | 0.000006000s | 48 B
                 526 | 0.000006100s | 48 B
                 527 | 0.000005600s | 48 B
                 528 | 0.000004500s | 48 B
                 529 | 0.000004200s | 48 B
                 530 | 0.000003900s | 48 B
                 531 | 0.000006200s | 48 B
                 532 | 0.000005500s | 48 B
                 533 | 0.000005700s | 48 B
                 534 | 0.000006000s | 48 B
                 535 | 0.000006000s | 48 B
                 536 | 0.000005900s | 48 B
                 537 | 0.000005900s | 48 B
                 538 | 0.000004800s | 48 B
                 539 | 0.000006200s | 48 B
                 540 | 0.000006100s | 48 B
                 541 | 0.000006400s | 48 B
                 542 | 0.000005600s | 48 B
                 543 | 0.000005800s | 48 B
                 544 | 0.000005400s | 48 B
                 545 | 0.000005600s | 48 B
                 546 | 0.000005700s | 48 B
                 547 | 0.000005800s | 48 B
                 548 | 0.000005600s | 48 B
                 549 | 0.000005700s | 48 B
                 550 | 0.000006000s | 48 B
                 551 | 0.000006200s | 48 B
                 552 | 0.000006100s | 48 B
                 553 | 0.000006200s | 48 B
                 554 | 0.000006000s | 56 B
                 555 | 0.000005800s | 56 B
                 556 | 0.000006200s | 56 B
                 557 | 0.000006300s | 56 B
                 558 | 0.000005800s | 56 B
                 559 | 0.000005000s | 56 B
                 560 | 0.000005600s | 56 B
                 561 | 0.000006100s | 56 B
                 562 | 0.000006100s | 56 B
                 563 | 0.000005500s | 56 B
                 564 | 0.000006500s | 56 B
                 565 | 0.000005600s | 56 B
                 566 | 0.000005600s | 56 B
                 567 | 0.000005900s | 56 B
                 568 | 0.000005500s | 56 B
                 569 | 0.000005800s | 56 B
                 570 | 0.000005600s | 56 B
                 571 | 0.000005700s | 56 B
                 572 | 0.000006100s | 56 B
                 573 | 0.000005200s | 56 B
                 574 | 0.000005600s | 56 B
                 575 | 0.000006000s | 56 B
                 576 | 0.000005400s | 56 B
                 577 | 0.000005000s | 56 B
                 578 | 0.000006300s | 56 B
                 579 | 0.000005300s | 56 B
                 580 | 0.000006400s | 56 B
                 581 | 0.000005100s | 56 B
                 582 | 0.000005200s | 56 B
                 583 | 0.000005500s | 56 B
                 584 | 0.000007300s | 56 B
                 585 | 0.000021800s | 56 B
                 586 | 0.000006600s | 56 B
                 587 | 0.000008300s | 56 B
                 588 | 0.000006400s | 56 B
                 589 | 0.000023100s | 56 B
                 590 | 0.000006500s | 56 B
                 591 | 0.000023400s | 56 B
                 592 | 0.000005800s | 56 B
                 593 | 0.000006700s | 56 B
                 594 | 0.000006300s | 56 B
                 595 | 0.000008100s | 56 B
                 596 | 0.000005900s | 56 B
                 597 | 0.000006000s | 56 B
                 598 | 0.000005700s | 56 B
                 599 | 0.000006200s | 56 B
                 600 | 0.000006400s | 56 B
                 601 | 0.000022800s | 56 B
                 602 | 0.000006400s | 56 B
                 603 | 0.000006100s | 56 B
                 604 | 0.000006800s | 56 B
                 605 | 0.000067100s | 56 B
                 606 | 0.000006800s | 56 B
                 607 | 0.000008600s | 56 B
                 608 | 0.000006700s | 56 B
                 609 | 0.000005900s | 56 B
                 610 | 0.000006600s | 56 B
                 611 | 0.000010200s | 56 B
                 612 | 0.000006800s | 56 B
                 613 | 0.000009000s | 56 B
                 614 | 0.000006700s | 56 B
                 615 | 0.000009000s | 56 B
                 616 | 0.000006800s | 56 B
                 617 | 0.000006900s | 56 B
                 618 | 0.000007000s | 56 B
                 619 | 0.000010000s | 56 B
                 620 | 0.000006700s | 56 B
                 621 | 0.000009300s | 56 B
                 622 | 0.000006900s | 56 B
                 623 | 0.000010200s | 56 B
                 624 | 0.000006800s | 56 B
                 625 | 0.000006900s | 56 B
                 626 | 0.000008800s | 56 B
                 627 | 0.000006900s | 56 B
                 628 | 0.000006800s | 56 B
                 629 | 0.000006200s | 56 B
                 630 | 0.000005600s | 56 B
                 631 | 0.000007100s | 56 B
                 632 | 0.000008600s | 56 B
                 633 | 0.000007000s | 56 B
                 634 | 0.000007100s | 56 B
                 635 | 0.000007100s | 56 B
                 636 | 0.000007000s | 56 B
                 637 | 0.000007100s | 56 B
                 638 | 0.000009000s | 56 B
                 639 | 0.000007100s | 56 B
                 640 | 0.000006600s | 56 B
                 641 | 0.000006700s | 56 B
                 642 | 0.000006900s | 56 B
                 643 | 0.000006100s | 56 B
                 644 | 0.000006600s | 56 B
                 645 | 0.000007400s | 56 B
                 646 | 0.000007300s | 64 B
                 647 | 0.000009200s | 64 B
                 648 | 0.000006700s | 64 B
                 649 | 0.000007100s | 64 B
                 650 | 0.000007100s | 64 B
                 651 | 0.000007300s | 64 B
                 652 | 0.000009300s | 64 B
                 653 | 0.000009000s | 64 B
                 654 | 0.000006900s | 64 B
                 655 | 0.000007900s | 64 B
                 656 | 0.000006900s | 64 B
                 657 | 0.000007100s | 64 B
                 658 | 0.000007800s | 64 B
                 659 | 0.000007800s | 64 B
                 660 | 0.000007700s | 64 B
                 661 | 0.000007200s | 64 B
                 662 | 0.000007800s | 64 B
                 663 | 0.000007900s | 64 B
                 664 | 0.000007600s | 64 B
                 665 | 0.000006200s | 64 B
                 666 | 0.000007500s | 64 B
                 667 | 0.000007600s | 64 B
                 668 | 0.000007600s | 64 B
                 669 | 0.000007900s | 64 B
                 670 | 0.000007100s | 64 B
                 671 | 0.000007600s | 64 B
                 672 | 0.000007500s | 64 B
                 673 | 0.000006200s | 64 B
                 674 | 0.000007000s | 64 B
                 675 | 0.000007100s | 64 B
                 676 | 0.000007000s | 64 B
                 677 | 0.000007000s | 64 B
                 678 | 0.000006900s | 64 B
                 679 | 0.000007100s | 64 B
                 680 | 0.000007100s | 64 B
                 681 | 0.000007200s | 64 B
                 682 | 0.000007000s | 64 B
                 683 | 0.000007100s | 64 B
                 684 | 0.000007200s | 64 B
                 685 | 0.000007400s | 64 B
                 686 | 0.000007000s | 64 B
                 687 | 0.000007100s | 64 B
                 688 | 0.000006800s | 64 B
                 689 | 0.000007100s | 64 B
                 690 | 0.000007200s | 64 B
                 691 | 0.000007200s | 64 B
                 692 | 0.000007200s | 64 B
                 693 | 0.000007000s | 64 B
                 694 | 0.000006100s | 64 B
                 695 | 0.000007700s | 64 B
                 696 | 0.000007400s | 64 B
                 697 | 0.000006300s | 64 B
                 698 | 0.000007900s | 64 B
                 699 | 0.000008000s | 64 B
                 700 | 0.000007500s | 64 B
                 701 | 0.000007700s | 64 B
                 702 | 0.000007500s | 64 B
                 703 | 0.000008000s | 64 B
                 704 | 0.000007200s | 64 B
                 705 | 0.000007400s | 64 B
                 706 | 0.000007400s | 64 B
                 707 | 0.000007900s | 64 B
                 708 | 0.000007400s | 64 B
                 709 | 0.000007300s | 64 B
                 710 | 0.000007300s | 64 B
                 711 | 0.000007400s | 64 B
