#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 479 | 0.000022800s | 42 B
                 480 | 0.000020000s | 42 B
                 481 | 0.000022200s | 42 B
                 482 | 0.000021600s | 42 B
                 483 | 0.000022800s | 42 B
                 484 | 0.000021800s | 42 B
                 485 | 0.000022500s | 42 B
                 486 | 0.000022500s | 43 B
                 487 | 0.000023800s | 43 B
                 488 | 0.000020000s | 43 B
                 489 | 0.000020200s | 43 B
                 490 | 0.000023000s | 43 B
                 491 | 0.000022900s | 43 B
                 492 | 0.000020600s | 43 B
                 493 | 0.000023100s | 43 B
                 494 | 0.000023200s | 43 B
                 495 | 0.000032600s | 43 B
                 496 | 0.000029700s | 43 B
                 497 | 0.000020800s | 43 B
                 498 | 0.000022500s | 44 B
                 499 | 0.000022900s | 44 B
                 500 | 0.000029100s | 44 B
                 501 | 0.000032200s | 44 B
                 502 | 0.000023500s | 44 B
                 503 | 0.000029700s | 44 B
                 504 | 0.000030200s | 44 B
                 505 | 0.000028500s | 44 B
                 506 | 0.000054300s | 44 B
                 507 | 0.000033000s | 44 B
                 508 | 0.000023000s | 44 B
                 509 | 0.000021700s | 45 B
                 510 | 0.000031900s | 45 B
                 511 | 0.000031300s | 45 B
                 512 | 0.000019500s | 45 B
                 513 | 0.000092300s | 45 B
                 514 | 0.000020500s | 45 B
                 515 | 0.000022300s | 45 B
                 516 | 0.000017700s | 45 B
                 517 | 0.000021200s | 45 B
                 518 | 0.000022100s | 45 B
                 519 | 0.000022200s | 45 B
                 520 | 0.000021200s | 45 B
                 521 | 0.000021900s | 46 B
                 522 | 0.000021200s | 46 B
                 523 | 0.000022100s | 46 B
                 524 | 0.000026300s | 46 B
                 525 | 0.000025000s | 46 B
                 526 | 0.000028400s | 46 B
                 527 | 0.000030600s | 46 B
                 528 | 0.000025600s | 46 B
                 529 | 0.000029900s | 46 B
                 530 | 0.000021400s | 46 B
                 531 | 0.000022200s | 46 B
                 532 | 0.000021400s | 47 B
                 533 | 0.000022300s | 47 B
                 534 | 0.000022300s | 47 B
                 535 | 0.000022400s | 47 B
                 536 | 0.000021400s | 47 B
                 537 | 0.000022600s | 47 B
                 538 | 0.000022200s | 47 B
                 539 | 0.000023400s | 47 B
                 540 | 0.000022200s | 47 B
                 541 | 0.000022800s | 47 B
                 542 | 0.000022900s | 47 B
                 543 | 0.000023200s | 47 B
                 544 | 0.000021500s | 48 B
                 545 | 0.000022600s | 48 B
                 546 | 0.000021700s | 48 B
                 547 | 0.000022500s | 48 B
                 548 | 0.000020300s | 48 B
                 549 | 0.000022900s | 48 B
                 550 | 0.000020700s | 48 B
                 551 | 0.000023200s | 48 B
                 552 | 0.000018900s | 48 B
                 553 | 0.000020000s | 48 B
                 554 | 0.000023400s | 48 B
                 555 | 0.000021500s | 49 B
                 556 | 0.000069700s | 49 B
                 557 | 0.000020600s | 49 B
                 558 | 0.000023200s | 49 B
                 559 | 0.000024000s | 49 B
                 560 | 0.000021800s | 49 B
                 561 | 0.000022500s | 49 B
                 562 | 0.000022300s | 49 B
                 563 | 0.000021900s | 49 B
                 564 | 0.000022200s | 49 B
                 565 | 0.000023700s | 49 B
                 566 | 0.000022900s | 49 B
                 567 | 0.000024200s | 50 B
                 568 | 0.000023300s | 50 B
                 569 | 0.000024400s | 50 B
                 570 | 0.000023300s | 50 B
                 571 | 0.000024300s | 50 B
                 572 | 0.000022900s | 50 B
                 573 | 0.000024500s | 50 B
                 574 | 0.000024200s | 50 B
                 575 | 0.000024600s | 50 B
                 576 | 0.000021000s | 50 B
                 577 | 0.000022900s | 50 B
                 578 | 0.000022300s | 51 B
                 579 | 0.000023900s | 51 B
                 580 | 0.000022700s | 51 B
                 581 | 0.000023400s | 51 B
                 582 | 0.000023100s | 51 B
                 583 | 0.000024300s | 51 B
                 584 | 0.000022200s | 51 B
                 585 | 0.000024500s | 51 B
                 586 | 0.000028100s | 51 B
                 587 | 0.000021900s | 51 B
                 588 | 0.000021900s | 51 B
                 589 | 0.000021300s | 51 B
                 590 | 0.000032100s | 52 B
                 591 | 0.000022200s | 52 B
                 592 | 0.000022300s | 52 B
                 593 | 0.000023100s | 52 B
                 594 | 0.000023500s | 52 B
                 595 | 0.000024200s | 52 B
                 596 | 0.000022800s | 52 B
                 597 | 0.000024700s | 52 B
                 598 | 0.000024100s | 52 B
                 599 | 0.000022800s | 52 B
                 600 | 0.000023000s | 52 B
                 601 | 0.000023700s | 53 B
                 602 | 0.000023600s | 53 B
                 603 | 0.000022900s | 53 B
                 604 | 0.000023600s | 53 B
                 605 | 0.000024900s | 53 B
                 606 | 0.000025700s | 53 B
                 607 | 0.000025200s | 53 B
                 608 | 0.000023200s | 53 B
                 609 | 0.000023800s | 53 B
                 610 | 0.000024000s | 53 B
                 611 | 0.000033300s | 53 B
                 612 | 0.000021700s | 53 B
                 613 | 0.000024800s | 54 B
                 614 | 0.000024700s | 54 B
                 615 | 0.000025400s | 54 B
                 616 | 0.000024200s | 54 B
                 617 | 0.000025300s | 54 B
                 618 | 0.000024400s | 54 B
                 619 | 0.000026100s | 54 B
                 620 | 0.000025100s | 54 B
                 621 | 0.000025500s | 54 B
                 622 | 0.000026500s | 54 B
                 623 | 0.000027700s | 54 B
                 624 | 0.000023600s | 55 B
                 625 | 0.000024800s | 55 B
                 626 | 0.000024400s | 55 B
                 627 | 0.000024000s | 55 B
                 628 | 0.000025000s | 55 B
                 629 | 0.000026000s | 55 B
                 630 | 0.000026400s | 55 B
                 631 | 0.000027000s | 55 B
                 632 | 0.000025800s | 55 B
                 633 | 0.000025700s | 55 B
                 634 | 0.000025100s | 55 B
                 635 | 0.000025200s | 55 B
                 636 | 0.000025300s | 56 B
                 637 | 0.000026100s | 56 B
                 638 | 0.000027400s | 56 B
