#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 477 | 0.000002900s | 42 B
                 478 | 0.000002700s | 42 B
                 479 | 0.000002900s | 42 B
                 480 | 0.000002200s | 42 B
                 481 | 0.000002500s | 42 B
                 482 | 0.000002200s | 42 B
                 483 | 0.000002500s | 42 B
                 484 | 0.000002300s | 42 B
                 485 | 0.000002400s | 42 B
                 486 | 0.000002200s | 43 B
                 487 | 0.000003400s | 43 B
                 488 | 0.000002400s | 43 B
                 489 | 0.000002800s | 43 B
                 490 | 0.000002300s | 43 B
                 491 | 0.000002400s | 43 B
                 492 | 0.000002200s | 43 B
                 493 | 0.000002500s | 43 B
                 494 | 0.000002200s | 43 B
                 495 | 0.000002500s | 43 B
                 496 | 0.000002400s | 43 B
                 497 | 0.000002500s | 43 B
                 498 | 0.000002700s | 44 B
                 499 | 0.000003000s | 44 B
                 500 | 0.000002300s | 44 B
                 501 | 0.000003200s | 44 B
                 502 | 0.000002700s | 44 B
                 503 | 0.000002800s | 44 B
                 504 | 0.000002300s | 44 B
                 505 | 0.000002500s | 44 B
                 506 | 0.000002300s | 44 B
                 507 | 0.000003000s | 44 B
                 508 | 0.000002200s | 44 B
                 509 | 0.000002900s | 45 B
                 510 | 0.000002300s | 45 B
                 511 | 0.000003000s | 45 B
                 512 | 0.000002300s | 45 B
                 513 | 0.000002400s | 45 B
                 514 | 0.000002300s | 45 B
                 515 | 0.000002400s | 45 B
                 516 | 0.000002300s | 45 B
                 517 | 0.000002500s | 45 B
                 518 | 0.000005900s | 45 B
                 519 | 0.000002900s | 45 B
                 520 | 0.000002700s | 45 B
                 521 | 0.000002500s | 46 B
                 522 | 0.000002300s | 46 B
                 523 | 0.000004300s | 46 B
                 524 | 0.000002800s | 46 B
                 525 | 0.000003000s | 46 B
                 526 | 0.000002400s | 46 B
                 527 | 0.000002500s | 46 B
                 528 | 0.000002200s | 46 B
                 529 | 0.000002900s | 46 B
                 530 | 0.000002700s | 46 B
                 531 | 0.000002500s | 46 B
                 532 | 0.000002200s | 47 B
                 533 | 0.000002500s | 47 B
                 534 | 0.000002200s | 47 B
                 535 | 0.000002500s | 47 B
                 536 | 0.000002200s | 47 B
                 537 | 0.000002400s | 47 B
                 538 | 0.000002300s | 47 B
                 539 | 0.000002900s | 47 B
                 540 | 0.000002700s | 47 B
                 541 | 0.000002600s | 47 B
                 542 | 0.000002400s | 47 B
                 543 | 0.000002500s | 47 B
                 544 | 0.000002300s | 48 B
                 545 | 0.000002500s | 48 B
                 546 | 0.000002200s | 48 B
                 547 | 0.000002500s | 48 B
                 548 | 0.000002200s | 48 B
                 549 | 0.000002900s | 48 B
                 550 | 0.000002700s | 48 B
                 551 | 0.000003100s | 48 B
                 552 | 0.000002700s | 48 B
                 553 | 0.000002500s | 48 B
                 554 | 0.000002400s | 48 B
                 555 | 0.000002800s | 49 B
                 556 | 0.000002500s | 49 B
                 557 | 0.000002600s | 49 B
                 558 | 0.000002600s | 49 B
                 559 | 0.000002900s | 49 B
                 560 | 0.000002800s | 49 B
                 561 | 0.000003200s | 49 B
                 562 | 0.000002800s | 49 B
                 563 | 0.000002600s | 49 B
                 564 | 0.000002300s | 49 B
                 565 | 0.000002400s | 49 B
                 566 | 0.000002300s | 49 B
                 567 | 0.000002500s | 50 B
                 568 | 0.000002300s | 50 B
                 569 | 0.000002400s | 50 B
                 570 | 0.000002300s | 50 B
                 571 | 0.000002500s | 50 B
                 572 | 0.000002600s | 50 B
                 573 | 0.000002800s | 50 B
